date,Humidity,Intraday_max,Intraday_mean,Intraday_min,Precipitation,Soil_max,Soil_mean,Soil_min
1967-06-28,63.0,,18.71,,0.7,,21.5,
1967-06-29,70.0,,16.64,,0.0,,22.0,
1967-06-30,74.38,,19.04,,2.3,,20.5,
1967-07-01,57.88,,20.66,,0.0,,22.75,
1967-07-02,77.5,,17.36,,5.5,,18.88,
1967-07-03,68.12,,15.69,,1.5,,19.75,
1967-07-04,92.38,,10.2,,9.9,,12.12,
1967-07-05,84.5,,10.76,,0.9,,14.12,
1967-07-06,80.25,,19.24,,4.0,,21.25,
1967-07-07,73.0,,22.5,,4.3,,24.25,
1967-07-08,81.75,,20.74,,0.0,,23.12,
1967-07-09,79.62,,19.79,,0.0,,22.12,
1967-07-10,57.0,,20.72,,0.0,,24.5,
1967-07-11,53.38,,20.86,,0.0,,25.12,
1967-07-12,57.38,,21.91,,0.0,,27.62,
1967-07-13,57.5,,22.6,,0.0,,27.5,
1967-07-14,45.62,,20.64,,0.0,,25.88,
1967-07-15,54.88,,17.65,,0.5,,22.25,
1967-07-16,78.5,,13.64,,1.2,,15.5,
1967-07-17,87.5,,11.77,,20.6,,12.5,
1967-07-18,62.62,,11.85,,0.0,,12.25,
1967-07-19,62.12,,10.73,,0.0,,11.88,
1967-07-20,59.88,,12.82,,0.0,,16.88,
1967-07-21,66.5,,14.62,,0.0,,21.0,
1967-07-22,57.88,,21.21,,0.0,,24.25,
1967-07-23,60.62,,19.54,,0.0,,24.0,
1967-07-24,77.12,,17.86,,0.0,,23.38,
1967-07-25,67.62,,19.52,,0.0,,26.25,
1967-07-26,89.0,,17.46,,7.5,,19.62,
1967-07-27,82.62,,17.26,,2.5,,18.5,
1967-07-28,71.25,,17.97,,0.0,,20.62,
1967-07-29,61.0,,20.35,,0.0,,23.62,
1967-07-30,61.38,,21.0,,0.0,,25.0,
1967-07-31,59.0,,21.78,,0.0,,25.75,
1967-08-01,58.62,,21.48,,0.0,,25.75,
1967-08-02,60.5,,21.25,,0.0,,26.75,
1967-08-03,59.62,,21.86,,0.0,,27.5,
1967-08-04,62.38,,23.11,,0.0,,28.25,
1967-08-05,61.88,,23.71,,0.0,,29.0,
1967-08-06,82.75,,19.12,,0.1,,20.75,
1967-08-07,86.62,,18.86,,3.7,,21.38,
1967-08-08,74.12,,15.68,,3.5,,18.25,
1967-08-09,86.88,,14.11,,0.9,,15.75,
1967-08-10,79.75,,11.74,,0.1,,13.25,
1967-08-11,71.88,,13.39,,0.0,,14.5,
1967-08-12,65.0,,13.0,,0.0,,17.0,
1967-08-13,59.75,,13.79,,0.0,,18.5,
1967-08-14,62.38,,14.96,,0.0,,19.88,
1967-08-15,62.38,,18.21,,0.0,,22.25,
1967-08-16,70.75,,20.25,,0.0,,23.0,
1967-08-17,63.88,,21.05,,0.0,,24.25,
1967-08-18,60.75,,20.9,,0.0,,24.38,
1967-08-19,67.25,,20.21,,0.0,,23.75,
1967-08-20,89.75,,16.72,,13.1,,17.38,
1967-08-21,76.62,,16.82,,0.0,,18.0,
1967-08-22,75.62,,18.84,,0.0,,18.75,
1967-08-23,65.0,,21.24,,0.0,,22.25,
1967-08-24,64.25,,20.6,,0.0,,21.62,
1967-08-25,74.12,,19.71,,0.0,,21.88,
1967-08-26,92.75,,14.21,,3.0,,15.0,
1967-08-27,92.38,,12.46,,0.0,,13.75,
1967-08-28,89.75,,12.55,,0.5,,13.5,
1967-08-29,82.0,,15.3,,0.0,,17.38,
1967-08-30,77.75,,18.34,,0.0,,20.0,
1967-08-31,81.25,,18.19,,1.4,,18.75,
1967-09-01,71.88,,16.88,,0.0,,18.62,
1967-09-02,82.25,,15.0,,0.0,,17.88,
1967-09-03,76.62,,10.79,,0.0,,12.25,
1967-09-04,71.75,,10.2,,0.0,,12.12,
1967-09-05,68.62,,9.68,,0.0,,11.38,
1967-09-06,70.5,,8.3,,0.0,,8.75,
1967-09-07,65.75,,11.49,,0.0,,12.38,
1967-09-08,67.88,,12.44,,0.0,,13.38,
1967-09-09,68.75,,12.19,,0.0,,12.0,
1967-09-10,80.0,,12.22,,0.0,,12.75,
1967-09-11,79.12,,12.22,,0.0,,13.12,
1967-09-12,83.0,,10.52,,5.2,,12.75,
1967-09-13,71.5,,4.62,,0.0,,5.5,
1967-09-14,91.0,,5.15,,1.0,,4.88,
1967-09-15,72.75,,7.71,,1.7,,6.88,
1967-09-16,68.12,,5.09,,0.0,,4.88,
1967-09-17,63.0,,2.85,,0.1,,2.5,
1967-09-18,80.88,,4.47,,0.0,,5.25,
1967-09-19,89.5,,2.6,,2.3,,3.62,
1967-09-20,83.0,,2.85,,0.0,,2.62,
1967-09-21,82.12,,4.1,,0.8,,4.38,
1967-09-22,79.38,,4.86,,0.6,,4.62,
1967-09-23,72.0,,4.81,,0.0,,5.0,
1967-09-24,93.25,,5.17,,0.7,,4.5,
1967-09-25,88.25,,10.25,,0.0,,10.38,
1967-09-26,95.5,,8.44,,1.7,,8.5,
1967-09-27,87.38,,8.84,,0.0,,9.0,
1967-09-28,92.5,,6.64,,13.8,,6.62,
1967-09-29,88.38,,1.76,,0.1,,2.25,
1967-09-30,91.62,,-0.46,,0.4,,0.62,
1967-10-01,91.12,,-0.89,,0.1,,0.5,
1967-10-02,94.38,,1.48,,1.9,,2.25,
1967-10-03,89.75,,2.29,,0.0,,2.62,
1967-10-04,82.0,,3.55,,0.0,,2.75,
1967-10-05,95.62,,7.38,,1.7,,6.88,
1967-10-06,88.5,,9.6,,6.1,,8.88,
1967-10-07,82.25,,7.88,,0.0,,5.88,
1967-10-08,79.25,,7.96,,0.4,,6.38,
1967-10-09,95.38,,7.64,,0.8,,7.25,
1967-10-10,92.75,,7.95,,0.9,,8.12,
1967-10-11,96.75,,7.74,,7.3,,7.88,
1967-10-12,91.75,,8.02,,2.8,,8.0,
1967-10-13,90.12,,6.79,,0.0,,7.12,
1967-10-14,84.25,,5.92,,0.0,,6.0,
1967-10-15,82.75,,7.24,,2.5,,6.0,
1967-10-16,83.25,,5.65,,0.0,,5.38,
1967-10-17,89.62,,8.39,,7.7,,7.62,
1967-10-18,86.88,,5.96,,5.7,,5.25,
1967-10-19,63.12,,5.55,,1.5,,4.0,
1967-10-20,69.62,,1.08,,0.0,,-0.88,
1967-10-21,78.38,,1.65,,0.0,,0.75,
1967-10-22,80.75,,0.3,,0.2,,0.75,
1967-10-23,86.62,,-0.79,,0.8,,-0.5,
1967-10-24,79.5,,-2.71,,0.2,,-2.38,
1967-10-25,76.12,,-5.02,,0.0,,-3.88,
1967-10-26,89.38,,-1.81,,7.0,,-1.38,
1967-10-27,93.88,,1.52,,4.9,,0.25,
1967-10-28,89.62,,5.54,,1.1,,4.0,
1967-10-29,86.62,,5.96,,0.0,,4.75,
1967-10-30,90.25,,7.45,,0.0,,6.25,
1967-10-31,89.25,,7.0,,0.1,,6.12,
1967-11-01,97.12,,7.18,,8.5,,6.62,
1967-11-02,95.0,,3.72,,4.3,,4.25,
1967-11-03,92.62,,5.31,,2.0,,5.25,
1967-11-04,97.25,,5.51,,2.2,,5.5,
1967-11-05,89.5,,4.19,,0.0,,3.62,
1967-11-06,80.12,,3.59,,1.3,,2.25,
1967-11-07,82.88,,1.82,,0.0,,0.25,
1967-11-08,90.75,,0.94,,0.0,,-1.12,
1967-11-09,89.12,,1.42,,0.0,,-0.25,
1967-11-10,92.0,,2.25,,3.6,,1.38,
1967-11-11,97.0,,1.48,,5.2,,1.25,
1967-11-12,93.75,,0.99,,0.0,,0.62,
1967-11-13,90.38,,0.25,,0.0,,-0.62,
1967-11-14,84.25,,0.12,,0.0,,-0.12,
1967-11-15,92.12,,0.18,,0.3,,-0.38,
1967-11-16,84.75,,-0.11,,0.0,,-0.71,
1967-11-17,88.75,,-0.09,,7.4,,-0.25,
1967-11-18,93.0,,0.26,,1.2,,-0.25,
1967-11-19,92.88,,-0.29,,5.7,,-0.5,
1967-11-20,91.25,,-0.95,,2.0,,-1.38,
1967-11-21,91.75,,-0.41,,1.3,,-0.75,
1967-11-22,79.88,,-4.42,,0.5,,-5.57,
1967-11-23,86.12,,-6.25,,1.8,,-6.75,
1967-11-24,87.38,,-6.01,,1.6,,-6.12,
1967-11-25,87.62,,-5.21,,5.0,,-5.0,
1967-11-26,86.25,,-6.11,,0.7,,-5.88,
1967-11-27,88.88,,-6.84,,0.4,,-6.25,
1967-11-28,90.5,,-6.46,,0.2,,-8.75,
1967-11-29,82.62,,-5.26,,0.3,,-5.88,
1967-11-30,82.62,,-8.41,,0.2,,-8.25,
1967-12-01,88.88,,-11.51,,0.0,,-11.5,
1967-12-02,86.88,,-10.36,,0.0,,-10.5,
1967-12-03,86.5,,-10.66,,0.0,,-12.25,
1967-12-04,85.75,,-16.29,,1.0,,-17.75,
1967-12-05,83.75,,-20.21,,0.0,,-21.0,
1967-12-06,86.62,,-15.2,,1.8,,-13.38,
1967-12-07,87.25,,-9.52,,1.8,,-9.0,
1967-12-08,90.0,,-4.71,,1.3,,-4.75,
1967-12-09,88.62,,-5.15,,5.2,,-4.25,
1967-12-10,83.75,,-8.0,,1.5,,-8.62,
1967-12-11,85.75,,-11.09,,2.7,,-10.62,
1967-12-12,84.5,,-10.21,,4.1,,-10.38,
1967-12-13,83.12,,-17.6,,0.0,,-18.12,
1967-12-14,82.5,,-20.98,,0.5,,-20.25,
1967-12-15,85.38,,-16.49,,0.3,,-16.12,
1967-12-16,85.12,,-10.58,,4.8,,-10.12,
1967-12-17,87.0,,-1.96,,1.9,,-2.5,
1967-12-18,83.0,,-7.76,,2.4,,-7.62,
1967-12-19,81.38,,-9.62,,1.3,,-10.38,
1967-12-20,77.5,,-19.44,,1.0,,-19.75,
